Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
23-10-2017 15:31,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,2.40E+10,0.086
15-10-2017 04:33,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,3.30E+10,0.11
09-10-2017 12:51,18.3S,64.1W,,,,,,3.00E+10,0.1
04-10-2017 12:07,28.1N,99.4E,37,14.6,-8.5,-9,7.8,1.92E+11,0.54
05-09-2017 05:11,49.3N,116.9W,36,14.7,12.7,-6.1,-4.2,3.80E+10,0.13
31-07-2017 22:01,24.7N,118.5W,,,,,,5.80E+10,0.19
23-07-2017 06:12,6.6S,69.7W,38,17.2,-0.4,8.7,-14.8,3.50E+10,0.12
13-07-2017 09:30,23.1N,60.7E,35,13.7,-10,-6.5,-6.8,7.30E+10,0.23
30-06-2017 14:26,34.3S,134.5E,20,15.2,10.9,-9.7,4.2,9.40E+10,0.29
23-06-2017 20:21,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,1.84E+11,0.52
20-06-2017 13:41,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,6.36E+11,1.6
24-05-2017 07:03,9.1S,101.8E,46,18.4,-6.5,-16.5,-5,9.00E+10,0.28
22-05-2017 17:44,49.6S,157.6W,33,,,,,3.50E+10,0.12
14-05-2017 09:30,26.0S,32.4E,33,,,,,3.50E+10,0.12
30-04-2017 21:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,1.50E+11,0.43
11-03-2017 04:51,28.3N,60.2W,28,,,,,1.26E+12,2.9
09-03-2017 04:16,40.5N,18.0W,23,36.5,-15.3,25.8,-20.8,4.00E+11,1
08-03-2017 22:21,26.1S,174.9E,37,,,,,7.20E+10,0.23
25-02-2017 01:22,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,6.50E+10,0.21
22-02-2017 18:47,50.7S,66.0W,,,,,,3.80E+10,0.13
18-02-2017 19:48,6.2N,60.4E,38,24.2,-6.6,-22.7,-5.3,2.95E+11,0.79
07-02-2017 17:37,27.4S,14.8W,54,,,,,2.00E+10,0.073
06-02-2017 06:09,10.4N,131.6E,33.5,,,,,6.60E+10,0.21
23-12-2016 03:29,21.3N,49.3E,42,29.7,-22.4,16.4,-10.5,3.80E+10,0.13
07-12-2016 04:51,34.5S,126.6W,,,,,,1.17E+11,0.35
29-11-2016 08:05,30.6S,93.1W,,,,,,3.10E+10,0.11
24-11-2016 14:10,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,1.38E+11,0.4
03-11-2016 17:14,39.6S,16.3W,37,,,,,7.60E+10,0.24
01-10-2016 20:23,36.2N,6.7E,27.8,14.2,-10,3.9,-9.3,3.10E+10,0.11
22-09-2016 04:57,51.8S,178.5E,40,17.5,-2.5,-3.3,17,7.10E+10,0.22
14-09-2016 15:01,3.5S,44.6E,54,18.3,3.5,-16.2,7.7,7.60E+10,0.24
27-08-2016 21:45,56.9S,162.2E,42,,,,,1.42E+11,0.41
11-08-2016 05:59,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,1.84E+11,0.52
05-08-2016 18:02,46.4N,171.6E,32.4,,,,,1.21E+11,0.36
21-07-2016 00:48,7.8N,1.6W,37,,,,,4.50E+10,0.15
05-07-2016 01:24,1.0N,48.6E,38.2,25.1,-10.3,-2,-22.8,1.53E+11,0.44
27-06-2016 10:02,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,4.58E+11,1.2
05-06-2016 06:12,17.4S,138.3E,28.7,14.5,6,-11.9,5.7,3.31E+11,0.87
02-06-2016 10:56,33.8N,110.9W,,,,,,1.72E+11,0.49
29-05-2016 12:14,10.2N,48.8W,32,,,,,6.90E+10,0.22
20-05-2016 11:59,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,2.00E+10,0.073
16-05-2016 10:09,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,5.19E+11,1.3
13-05-2016 00:34,26.2N,122.3W,33,,,,,1.01E+11,0.31
24-04-2016 05:39,9.8N,42.8W,50,,,,,1.46E+11,0.42
18-04-2016 11:59,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,2.24E+11,0.62
12-04-2016 09:51,38.3N,162.2E,,,,,,2.00E+10,0.073
10-04-2016 14:57,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,6.55E+11,1.6
16-03-2016 23:54,49.2S,6.3W,42,13.3,-7.6,9.1,6,3.20E+10,0.11
03-03-2016 01:32,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,5.80E+10,0.19
23-02-2016 03:59,32.3N,67.2E,44,17.9,-8.5,-1.6,-15.7,3.50E+10,0.12
21-02-2016 05:58,36.5N,37.2W,32,,,,,3.69E+11,0.96
19-02-2016 08:15,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,2.02E+11,0.56
13-02-2016 00:10,3.1N,117.9E,,,,,,5.10E+10,0.17
06-02-2016 13:55,30.4S,25.5W,31,15.6,2.7,14.5,5,6.85E+12,13
27-01-2016 09:59,45.8S,53.6E,37,11.5,-10,-4.4,3.6,5.00E+10,0.16
21-01-2016 16:44,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,4.60E+10,0.15
30-12-2015 13:07,33.8N,160.7W,39,,,,,2.20E+10,0.079
21-12-2015 02:32,5.9N,143.0E,42.2,12.1,6.4,-10,2.5,8.30E+10,0.26
08-12-2015 00:34,69.9S,150.5E,38,,,,,1.97E+11,0.55
13-11-2015 14:59,16.0N,124.3E,28,,,,,1.02E+11,0.31
02-11-2015 21:34,41.4S,33.0E,37,,,,,7.80E+10,0.24
31-10-2015 11:34,9.0N,138.0W,71,,,,,9.70E+10,0.29
30-10-2015 07:07,85.0S,161.7W,,,,,,1.80E+11,0.51
13-10-2015 12:23,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,2.30E+10,0.082
11-10-2015 00:07,55.4S,18.8W,,,,,,3.00E+10,0.1
10-10-2015 09:57,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,3.60E+10,0.12
04-10-2015 21:02,22.0N,171.6W,36.1,,,,,4.40E+10,0.15
17-09-2015 21:03,43.1S,94.9E,,,,,,9.80E+10,0.3
14-09-2015 23:50,5.8N,15.2W,,,,,,7.00E+10,0.22
08-09-2015 13:46,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,2.00E+10,0.073
07-09-2015 01:41,14.5N,98.9E,29.3,21,16.8,-12,-3.8,1.80E+12,3.9
02-09-2015 20:10,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18,3.70E+10,0.13
04-08-2015 10:24,9.6S,125.9E,,,,,,2.90E+10,0.1
19-07-2015 07:06,20.6N,87.6W,22,17.8,9.4,13,7.8,2.30E+10,0.082
12-07-2015 22:23,31.0N,159.6E,41,,,,,2.20E+10,0.079
04-07-2015 01:40,38.6N,103.1E,46.3,49,0.9,-40.4,-27.7,5.60E+10,0.18
14-06-2015 03:03,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26,7.10E+10,0.22
